Blog,Handle,Title,Body HTML,Summary,Author,Tags,Published
News,christmas-top-10,Top 10 Christmas Jewelry Gifts for Everyone on Your List,"<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Gift guide,Everword,Gift guide,TRUE
News,layering-guide,The Ultimate Guide to Layering Necklaces,"<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Style,Everword,Style,TRUE
News,valentine-top-10,Top 10 Valentine's Day Jewelry Gifts,"<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Gift guide,Everword,Gift guide,TRUE
News,gold-plated,Gold Plated Jewelry: What It Is and How to Keep It,"<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Materials,Everword,Materials,TRUE
News,mothers-day-top-10,Top 10 Mother's Day Jewelry Gifts,"<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Gift guide,Everword,Gift guide,TRUE
News,storing,How to Store Your Jewelry,"<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Care,Everword,Care,TRUE
News,birthday-top-10,Top 10 Birthday Jewelry Gift Ideas,"<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Gift guide,Everword,Gift guide,TRUE
News,anniversary-guide,Anniversary Jewelry Gift Guide,"<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Gift guide,Everword,Gift guide,TRUE
News,cz-honestly,"Cubic Zirconia, Honestly","<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Materials,Everword,Materials,TRUE
News,cleaning,Jewelry Cleaning Instructions,"<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Care,Everword,Care,TRUE
News,rose-gold,The Rose Gold Edit,"<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Materials,Everword,Materials,TRUE
News,graduation-gifts,Best Graduation Gift Ideas,"<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Gift guide,Everword,Gift guide,TRUE
News,gender-neutral,The Rise of Gender-Neutral Jewelry,"<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Trends,Everword,Trends,TRUE
News,birthstones,Birthstone Jewelry: What They Mean and How to Style Them,"<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Style,Everword,Style,TRUE
News,minimalist,"Minimalist Jewelry: Minimal Pieces, Maximum Impact","<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Trends,Everword,Trends,TRUE
News,care-101,Jewelry Care 101: Keeping Your Pieces Looking New,"<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Care,Everword,Care,TRUE
News,summer-styling,How to Style Jewelry for Summer,"<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Style,Everword,Style,TRUE
News,clean-cz,How to Clean Cubic Zirconia at Home,"<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Care,Everword,Care,TRUE
News,gifts-every-occasion,Best Jewelry Gifts for Every Occasion,"<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Gift guide,Everword,Gift guide,TRUE
News,celebrity-trends,Jewelry Trends Inspired by Celebrities,"<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Trends,Everword,Trends,TRUE
News,stainless,"Stainless Steel, and Why We Use It","<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Materials,Everword,Materials,TRUE
News,spring-trends,Spring Jewelry Trends: Fresh Looks and the Art of Stacking,"<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Trends,Everword,Trends,TRUE
News,festival,Festival Jewelry: Bold Accessories for Every Event,"<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Trends,Everword,Trends,TRUE
News,engraving-ideas,"What to Engrave, When You Don't Know What to Say","<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Style,Everword,Style,TRUE
News,promise-rings,"What is a Promise Ring, and Who Gives One","<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Style,Everword,Style,TRUE
News,cuff-vs-chain,Cuff or Chain: Choosing a Bracelet That Stays On,"<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Style,Everword,Style,TRUE
News,mens-engraved,"Engraved Jewelry for Men, Without the Novelty","<p class=""pend"">This piece is being written. The outline is set and it is on the editorial calendar &mdash; check back, or <a href=""#d/contact"">ask us</a> if you want it sooner.</p>",Style,Everword,Style,TRUE
