Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Status,Image Src,Image Position,Image Alt Text,Metafield: everword.personalisation_kind [single_line_text_field],Metafield: everword.personalisation_label [single_line_text_field],Metafield: everword.personalisation_max [number_integer],Metafield: everword.message_card [boolean],Metafield: everword.occasions [single_line_text_field],Metafield: everword.elevator [single_line_text_field],Metafield: everword.tile_meta [single_line_text_field],Metafield: everword.specs [list.single_line_text_field],Metafield: everword.care [list.single_line_text_field]
katie-script-name,Script Name Necklace,"<p>A name or a word, cut from a single sheet in a flowing script and hung to sit at the collarbone. Up to eleven characters.</p>",Everword,Names,"Names, birthday, everyday, milestone",TRUE,Finish,Polished Stainless Steel,Presentation,Signature Everword Box,,,katie-script-name-01,60,,,continue,manual,69.00,TRUE,TRUE,g,active,,,"Script Name Necklace, photographed on a clean studio ground",name,Name or word,11,true,birthday milestone everyday,The Script,Polished Stainless Steel or 18K Yellow Gold Finish,"[""Polished stainless steel, or finished in 18K yellow gold"", ""Adjustable 16–18″ cable chain, 9 mm lobster clasp"", ""Cut to order — any name or word, up to 11 characters"", ""Letters 0.3″ (7.6 mm) high"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The gold is a finish. It is a plated layer over stainless steel, so skip abrasive polishes — they take the colour off rather than cleaning it.""]"
katie-script-name,,,,,,,Finish,Polished Stainless Steel,Presentation,Mahogany-Style Luxe Box,,,katie-script-name-02,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
katie-script-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,,,katie-script-name-03,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
katie-script-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,,,katie-script-name-04,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
jennifer-vertical-name,Vertical Name Necklace,"<p>The same script, hung from its first letter so it reads downward rather than across. Up to eleven characters.</p>",Everword,Names,"Names, birthday, everyday, milestone",TRUE,Finish,Polished Stainless Steel,Presentation,Signature Everword Box,,,jennifer-vertical-na-01,60,,,continue,manual,69.00,TRUE,TRUE,g,active,,,"Vertical Name Necklace, photographed on a clean studio ground",name,Name or word,11,true,birthday milestone everyday,The Vertical,Polished Stainless Steel or 18K Yellow Gold Finish,"[""Polished stainless steel, or finished in 18K yellow gold"", ""Adjustable 16–18″ cable chain, 9 mm lobster clasp"", ""Cut to order — any name or word, up to 11 characters"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The gold is a finish. It is a plated layer over stainless steel, so skip abrasive polishes — they take the colour off rather than cleaning it.""]"
jennifer-vertical-name,,,,,,,Finish,Polished Stainless Steel,Presentation,Mahogany-Style Luxe Box,,,jennifer-vertical-na-02,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
jennifer-vertical-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Signature Everword Box,,,jennifer-vertical-na-03,60,,,continue,manual,79.00,TRUE,TRUE,g,,,,,,,,,,,,,
jennifer-vertical-name,,,,,,,Finish,18K Yellow Gold Finish,Presentation,Mahogany-Style Luxe Box,,,jennifer-vertical-na-04,60,,,continue,manual,99.00,TRUE,TRUE,g,,,,,,,,,,,,,
courtney-heart-name,Name Necklace with Heart,"<p>A name in script, closing on a small open heart. Up to ten characters.</p>",Everword,Names,"Names, birthday, everyday",TRUE,Finish,Polished Stainless Steel,Presentation,Signature Everword Box,,,courtney-heart-name-01,60,,,continue,manual,69.00,TRUE,TRUE,g,active,,,"Name Necklace with Heart, photographed on a clean studio ground",name,Name or word,11,true,birthday everyday,"The Script, with Heart",Polished Stainless Steel or 18K Yellow Gold Finish,"[""Polished stainless steel, or finished in 18K yellow gold"", ""Adjustable 16–18″ cable chain, 9 mm lobster clasp"", ""Cut to order — any name or word, up to 11 characters"", ""Made in the USA""]","[""Keep it dry. Take it off before showering, swimming or exercising."", ""Last on, first off. Let perfume, lotion and hairspray dry completely first."", ""Clean gently. A soft microfibre cloth, no dips and no ultrasonic cleaners."", ""Store it safely. Back in the Everword box when it is not being worn."", ""The gold is a finish. It is a plated layer over stainless steel, so skip abrasive polishes — they take the colour off rather than cleaning it.""]"
courtney-heart-name,,,,,,,Finish,Polished Stainless Steel,Presentation,Mahogany-Style Luxe Box,,,courtney-heart-name-02,60,,,continue,manual,89.00,TRUE,TRUE,g,,,,,,,,,,,,,
